name,followers,uri,popularity,genres
Jung Kook,13716473,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,86,k-pop
Twenty One Pilots,23970190,spotify:artist:3YQKmKGau1PzlVlkL1iodx,82,"modern rock, pop, pov: indie, rock"
Adele,54532192,spotify:artist:4dpARuHxo51G3z768sgnrY,85,"british soul, pop, pop soul, uk pop"
Snoop Dogg,11340517,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,82,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
Melanie Martinez,19746243,spotify:artist:63yrD80RY3RNEM2YDpUpO8,80,"alt z, electropop, pop"
Wiz Khalifa,10898469,spotify:artist:137W8MRPWKqSmrBGDBFSop,81,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Megan Thee Stallion,8860933,spotify:artist:181bsRPaVXVlUKXrxwZfHK,78,"houston rap, pop, r&b, rap, trap queen"
Sabrina Carpenter,7676676,spotify:artist:74KM79TiuVKeVCqs8QtB0B,81,pop
Tiësto,7186388,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,85,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
NF,9669798,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,79,"hip hop, pop rap"
Halsey,21337850,spotify:artist:26VFTg2z8YR0cCuwLzESi2,81,"electropop, etherpop, indie poptimism, pop"
Cody Johnson,1201597,spotify:artist:6zLBxLdl60ekBLpawtT63I,75,"classic texas country, contemporary country, modern country pop"
One Direction,34491671,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,84,"boy band, pop, post-teen pop, talent show"
Phoebe Bridgers,2304116,spotify:artist:1r1uxoy19fzMxunt3ONAkG,78,"indie pop, la indie, pov: indie"
mgk,5198818,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,78,"ohio hip hop, pop rap"
OneRepublic,16715939,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,82,"piano rock, pop"
T-Pain,4695972,spotify:artist:3aQeKQSyrW4qWr35idm0cy,78,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
Djo,1170387,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,81,"pov: indie, psychedelic pop"
Maluma,33534357,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,85,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
The Lumineers,5328007,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,78,"folk-pop, modern rock, stomp and holler"
Bailey Zimmerman,1030821,spotify:artist:3win9vGIxFfBRag9S63wwf,75,"contemporary country, modern country pop"
Sam Smith,23491824,spotify:artist:2wY79sveU1sp5g7SokKOiI,83,"pop, uk pop"
Stray Kids,14918482,spotify:artist:2dIgFjalVxs4ThymZ67YCE,82,"k-pop, k-pop boy group, pop"
JID,1677845,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,78,"hip hop, pop rap, rap, underground hip hop"
Selena Gomez,48699076,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,82,"pop, post-teen pop"
Panic! At The Disco,12071878,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,78,"modern rock, pop"
HARDY,831084,spotify:artist:5QNm7E7RU2m64l6Gliu8Oy,74,"contemporary country, modern country pop"
Paramore,8343125,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,78,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Romeo Santos,20366455,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,82,"bachata, latin hip hop, latin pop, urbano latino"
Gucci Mane,5339414,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,76,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
Sia,27547094,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,84,"australian dance, australian pop, pop"
Ne-Yo,8575790,spotify:artist:21E3waRsmPlU7jZsS13rcj,81,"dance pop, pop, r&b, urban contemporary"
Conan Gray,9430490,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,79,"bedroom pop, pop, pov: indie"
blink-182,8066180,spotify:artist:6FBDaR13swtiWwGhX1WQsP,79,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
Don Omar,11070997,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,83,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
Akon,4368049,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,81,dance pop
Big Sean,11026046,spotify:artist:0c173mlxpT3dSFRgMO8XPh,76,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap"
Pharrell Williams,4411978,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,79,"dance pop, pop"
Britney Spears,14088942,spotify:artist:26dSoYclwsYLMAKD3tpOr4,81,"dance pop, pop"
Shawn Mendes,42388466,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,82,"canadian pop, pop, viral pop"
2 Chainz,7933525,spotify:artist:17lzZA2AlOHwCwFALHttmp,76,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap"
P!nk,16382103,spotify:artist:1KCSPY1glIKqW2TotWuXOR,81,"dance pop, pop"
Ludacris,2849262,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,77,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
Migos,13662473,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,76,"atl hip hop, hip hop, pop rap, rap, trap"
Joji,9399833,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,79,viral pop
Dominic Fike,1608158,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,77,"alternative pop rock, pov: indie"
Clairo,4636445,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,76,"bedroom pop, indie pop, pov: indie"
LE SSERAFIM,4829292,spotify:artist:4SpbR6yFEvexJuaBpgAU5p,82,k-pop girl group
Kesha,7723428,spotify:artist:6LqNN22kT3074XbTVUrhzX,78,"dance pop, pop"
Manuel Turizo,13437831,spotify:artist:0tmwSHipWxN12fsoLcFU3B,83,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
Russ,5040485,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,75,"hawaiian hip hop, pop rap"
Alicia Keys,11486089,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,79,"neo soul, pop, r&b"
ScHoolboy Q,4657582,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,75,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
My Chemical Romance,8324624,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,77,"emo, modern rock, pop punk, pov: indie, rock"
d4vd,2412768,spotify:artist:5y8tKLUfMvliMe8IKamR32,78,bedroom pop
PinkPantheress,3153484,spotify:artist:78rUTD7y6Cy67W1RVzYs7t,76,bedroom pop
The Chainsmokers,19981252,spotify:artist:69GGBxA162lTqCwzJG5jLp,80,pop
Aventura,7687552,spotify:artist:1qto4hHid1P71emI6Fd8xi,79,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino"
G-Eazy,5221219,spotify:artist:02kJSzxNuaWGqwubyUba0Z,77,"indie pop rap, oakland hip hop, pop rap, rap"
Madonna,7584928,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,81,"dance pop, pop"
Flo Rida,8407455,spotify:artist:0jnsk9HBra6NMjO2oANoPY,80,"dance pop, miami hip hop, pop, pop rap"
Camila Cabello,32570861,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,80,"dance pop, pop"
Tyga,6757583,spotify:artist:5LHRHt1k9lMyONurDHEdrp,78,"hip hop, pop rap, rap, southern hip hop, trap"
beabadoobee,3306926,spotify:artist:35l9BRT7MXmM8bv2WDQiyB,76,"bedroom pop, bubblegrunge, indie pop, pov: indie"
Florida Georgia Line,5349002,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,73,"contemporary country, country, country pop, country road, modern country rock"
TWICE,19864251,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,81,"k-pop, k-pop girl group, pop"
Lewis Capaldi,12368343,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,81,"pop, uk pop"
Troye Sivan,8098461,spotify:artist:3WGpXCj9YhhfX11TToZcXP,79,"australian pop, pop, viral pop"
NewJeans,7636499,spotify:artist:6HvZYsbFfjnjFrWF950C9d,80,"k-pop, k-pop girl group"
Bon Iver,3541400,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,76,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
ABBA,11852785,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,80,"europop, swedish pop"
Diplo,2574494,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,77,"dance pop, edm, electro house, moombahton, pop dance"
Avicii,22621551,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,81,"dance pop, edm, pop, pop dance"
Black Eyed Peas,7978574,spotify:artist:1yxSLGMDHlW21z4YXirZDS,80,"dance pop, pop, pop rap"
Pierce The Veil,2871354,spotify:artist:4iJLPqClelZOBCBifm8Fzv,73,"modern rock, pop punk, screamo"
Weezer,3446472,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,73,"alternative rock, modern power pop, modern rock, permanent wave, rock"
Jessie Murph,908703,spotify:artist:2yLzlEFtIS0Q9UkyBZdQA7,73,"modern country pop, singer-songwriter pop"
Bizarrap,14742048,spotify:artist:716NhGYqD1jl2wI1Qkgq36,84,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
Bebe Rexha,8950705,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,80,"dance pop, pop"
Lainey Wilson,614709,spotify:artist:6tPHARSq45lQ8BSALCfkFC,72,"contemporary country, modern country pop"
Mariah Carey,9740181,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,78,"dance pop, pop, urban contemporary"
Meek Mill,7752713,spotify:artist:20sxb77xiYeusSH8cVdatc,74,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
Eyedress,1822869,spotify:artist:3XxNRirzbjfLdDli06zMaB,75,"noise pop, pov: indie"
