name,followers,uri,popularity,genres
Sade,3725532,spotify:artist:47zz7sob9NUcODy0BTDvKx,74,"british soul, sophisti-pop"
Chance Peña,299121,spotify:artist:4lhUHpVOXmkEBGGHV71QCh,73,singer-songwriter pop
Beach House,2137577,spotify:artist:56ZTgzPBDge0OvCGgMO3OY,72,"baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie"
The Beach Boys,4416178,spotify:artist:3oDbviiivRWhXwIE8hxkVV,72,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop"
Camilo,18710555,spotify:artist:28gNT5KBp7IjEOQoevXf9N,79,"colombian pop, latin pop, latin viral pop, reggaeton colombiano"
SEVENTEEN,11117949,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,79,"k-pop, k-pop boy group"
Sebastian Yatra,22172197,spotify:artist:07YUOmWljBTXwIseAUd9TW,80,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
Kim Petras,1070911,spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J,76,"alt z, pop, transpop"
(G)I-DLE,8809598,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,77,k-pop girl group
Lauv,6124583,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,76,pop
Rae Sremmurd,7337756,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,71,"melodic rap, mississippi hip hop, pop rap, rap, trap"
Maná,10619614,spotify:artist:7okwEbXzyT2VffBmyQBWLz,78,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol"
Tears For Fears,3344221,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,74,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop"
Zedd,5864310,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,73,"complextro, edm, german techno, pop, pop dance"
ERNEST,136579,spotify:artist:4GGfAshSkqoxpZdoaHm7ky,68,modern country pop
Lucy Dacus,485573,spotify:artist:07D1Bjaof0NFlU32KXiqUP,70,indie pop
ZAYN,22753047,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,76,"pop, uk pop"
Fetty Wap,4554196,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,71,"new jersey rap, pop rap, rap, southern hip hop, trap"
Missy Elliott,2412207,spotify:artist:2wIVse2owClT7go1WT98tk,71,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop"
Morat,10818805,spotify:artist:5C4PDR4LnhZTbVnKWXuDKD,82,"colombian pop, latin viral pop"
Dylan Gossett,205206,spotify:artist:4H4M0Y4cN39zIVDHvdW53x,69,modern country pop
Men I Trust,1748279,spotify:artist:3zmfs9cQwzJl575W1ZYXeT,71,"indie pop, pov: indie"
Rema,4251592,spotify:artist:46pWGuE3dSwY3bMMXGBvVS,77,"afrobeats, nigerian pop"
Rex Orange County,5906209,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL,73,bedroom pop
Trey Songz,7288847,spotify:artist:2iojnBLj0qIMiKPvVhLnsH,69,"dance pop, r&b, southern hip hop, trap, urban contemporary"
Bastille,5469237,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,75,"metropopolis, modern rock, pop"
Nate Smith,301193,spotify:artist:4NYMUsIcUUsBHbV9DICa5x,69,"contemporary country, modern country pop"
Alok,11334511,spotify:artist:0NGAZxHanS9e0iNHpR8f2W,81,"electro house, pop nacional, slap house"
Zara Larsson,10360553,spotify:artist:1Xylc3o4UrD53lo9CvFvVg,78,"pop, scandipop, swedish electropop, swedish pop"
Father John Misty,813318,spotify:artist:2kGBy2WHvF0VdZyqiVCkDT,71,"art pop, chamber pop, indie rock, singer-songwriter, stomp and holler"
Mustard,1164456,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k,71,"cali rap, pop rap, rap, southern hip hop, trap"
Marc Anthony,9461169,spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6,76,"latin pop, modern salsa, salsa, tropical"
Maria Becerra,6086196,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,81,pop argentino
Jennifer Lopez,12720041,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,76,"dance pop, pop, urban contemporary"
Noah Cyrus,1276808,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,72,"alt z, pop"
Dean Lewis,3067757,spotify:artist:3QSQFmccmX81fWCUSPTS7y,76,"australian pop, pop"
The Goo Goo Dolls,2719251,spotify:artist:2sil8z5kiy4r76CRTXxBCA,72,"neo mellow, permanent wave, pop rock, post-grunge"
Tove Lo,3533902,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,73,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
A Day To Remember,2285462,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,69,"alternative metal, metalcore, neon pop punk, pop punk, screamo"
Wale,4100684,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,69,"pop rap, r&b, rap, southern hip hop, trap"
The Marías,1200120,spotify:artist:2sSGPbdZJkaSE2AbcGOACx,70,"bedroom pop, la indie"
Sum 41,3770191,spotify:artist:0qT79UgT5tY4yudH9VfsdT,73,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock"
Natasha Bedingfield,1717119,spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a,76,"dance pop, pop, post-teen pop"
Muni Long,457499,spotify:artist:7tjVFCxJdwT4NdrTmjyjQ6,73,"indie r&b, pop r&b"
Ashanti,2986580,spotify:artist:5rkVyNGXEgeUqKkB5ccK83,71,"dance pop, hip pop, r&b, urban contemporary"
Nic D,397448,spotify:artist:1XlLhtgJjC4ROQZilBZAvw,69,singer-songwriter pop
Ciara,6425349,spotify:artist:2NdeV5rLm47xAvogXrYhJX,70,"dance pop, hip pop, pop, r&b, urban contemporary"
Anne-Marie,11715916,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,78,pop
Major Lazer,6115808,spotify:artist:738wLrAtLtCtFOLvQBXOXp,76,"dance pop, edm, electro house, moombahton, pop, pop dance"
WILLOW,2483545,spotify:artist:3rWZHrfrsPBxVy692yAIxF,71,"afrofuturism, pop, post-teen pop, pov: indie"
Julia Michaels,5032860,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,73,pop
Jamie Foxx,1191855,spotify:artist:7LnaAXbDVIL75IVPnndf7w,70,"contemporary r&b, hip pop, pop rap, r&b, southern hip hop, trap, urban contemporary"
B.o.B,2020048,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,72,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
Norah Jones,3077639,spotify:artist:2Kx7MNY7cI1ENniW7vT30N,74,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz"
Reik,8597001,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2,78,"latin arena pop, latin pop, mexican pop, reggaeton, urbano latino"
Denzel Curry,2489180,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,69,"dark trap, drill, hip hop, miami hip hop, pop rap, rap, trap, underground hip hop"
Shaboozey,102917,spotify:artist:3y2cIKLjiOlp1Np37WiUdH,69,pop rap
A$AP Ferg,3720935,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL,70,"hip hop, pop rap, rap, southern hip hop, trap"
MARINA,5305826,spotify:artist:6CwfuxIqcltXDGjfZsMd9A,72,"metropopolis, pop, pov: indie, uk alternative pop"
Cavetown,4039234,spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8,70,"bedroom pop, indie pop, pov: indie"
Mark Ronson,1062616,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,74,pop soul
Keith Urban,5093981,spotify:artist:0u2FHSq3ln94y5Q57xazwf,69,"australian country, australian pop, contemporary country, country, country road, modern country rock"
Michael Bublé,6168051,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,74,"adult standards, canadian pop, jazz pop, lounge"
Shania Twain,2989061,spotify:artist:5e4Dhzv426EvQe3aDb64jL,72,"canadian country, canadian pop, contemporary country, country, country dawn"
Julien Baker,470530,spotify:artist:12zbUHbPHL5DGuJtiUfsip,69,"ambient folk, indie pop"
Keyshia Cole,3798764,spotify:artist:1vfezMIyCr4XUdYRaKIKi3,70,"hip pop, r&b, urban contemporary"
boygenius,854718,spotify:artist:1hLiboQ98IQWhpKeP9vRFw,69,indie pop
Still Woozy,980298,spotify:artist:4iMO20EPodreIaEl8qW66y,68,"bedroom pop, oakland indie, pov: indie"
SiR,991619,spotify:artist:3QTDHixorJelOLxoxcjqGx,69,"alternative r&b, la pop"
Lizzo,5705839,spotify:artist:56oDRnqbIiwx4mymNEv7dS,71,"escape room, minnesota hip hop, pop, trap queen"
Mary J. Blige,3742739,spotify:artist:1XkoF8ryArs86LZvFOkbyr,71,"dance pop, hip pop, neo soul, r&b, urban contemporary"
Tech N9ne,2705302,spotify:artist:6UBA15slIuadJ8h2lPRPos,67,"detroit hip hop, kansas city hip hop, pop rap"
will.i.am,4076287,spotify:artist:085pc2PYOi8bGKj0PNjekA,73,"dance pop, pop"
Martin Garrix,14978756,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,75,"dutch edm, edm, pop, pop dance, progressive house"
Alessia Cara,11745650,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,72,"canadian contemporary r&b, canadian pop, pop"
Sam Barber,314212,spotify:artist:08GfvCW09pv2QP4y9sle2a,67,modern country pop
Juan Luis Guerra 4.40,4837525,spotify:artist:3nlpTZci9O5W8RsNoNH559,76,"bachata, latin pop, tropical"
Bleachers,714155,spotify:artist:2eam0iDomRHGBypaDQLwWI,70,"indie pop, indie poptimism, modern rock, pov: indie"
*NSYNC,2307474,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,70,"boy band, dance pop, pop"
Jimmy Eat World,1523111,spotify:artist:3Ayl7mCk0nScecqOzvNp6s,69,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Macklemore & Ryan Lewis,2520078,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,74,"pop rap, seattle hip hop"
Diddy,1640476,spotify:artist:59wfkuBoNyhDMQGCljbUbA,72,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap"
MEDUZA,739533,spotify:artist:0xRXCcSX89eobfrshSVdyu,76,"edm, pop dance, pop house, uk dance"
Ryan Lewis,28909,spotify:artist:4myTppRgh0rojLxx8RycOp,74,pop rap
benny blanco,1134310,spotify:artist:5CiGnKThu5ctn9pBxv7DGa,72,pop
Tom Odell,3750338,spotify:artist:2txHhyCwHjUEpJjWrEyqyX,77,chill pop
Busta Rhymes,2672880,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK,71,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap"
Backstreet Boys,5549948,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,75,"boy band, dance pop, pop"
Marco Antonio Solís,6871866,spotify:artist:3tJnB0s6c3oXPq1SCCavnd,75,"grupera, latin pop, musica mexicana, ranchera"
John Summit,255270,spotify:artist:7kNqXtgeIwFtelmRjWv205,70,"edm, house, pop dance, uk dance"
The Game,4759789,spotify:artist:0NbfKEOTQCcwd6o7wSDOHI,72,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Selena,3641638,spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch,70,"mexican pop, tejano"
LANY,5708814,spotify:artist:49tQo2QULno7gxHutgccqF,75,"la pop, opm"
ATEEZ,3785996,spotify:artist:68KmkJeZGfwe1OUaivBa2L,72,"k-pop, k-pop boy group"
Destiny's Child,7016934,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,72,"dance pop, girl group, pop, r&b, urban contemporary"
TLC,3882469,spotify:artist:0TImkz4nPqjegtVSMZnMRq,69,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary"
Cults,855585,spotify:artist:3Oim8XBPbznAa8Jj8QzNc8,70,"experimental pop, indie surf, pov: indie"
Gavin Adcock,93155,spotify:artist:5jG6uRqinuI83luutMpW6y,65,modern country pop
Ado,4198001,spotify:artist:6mEQK9m2krja6X1cfsAjfl,75,"j-pop, japanese teen pop"
Kenya Grace,489619,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,74,singer-songwriter pop
Calum Scott,5521089,spotify:artist:6ydoSd3N2mwgwBHtF6K7eX,75,pop
Wyatt Flores,191422,spotify:artist:46lEQmDJLJeyltECJYJv1Y,65,"modern country pop, oklahoma country"
R3HAB,2502835,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,75,"dutch house, edm, electro house, pop dance, progressive electro house, slap house"
FLETCHER,885097,spotify:artist:5qa31A9HySw3T7MKWI9bGg,70,"alt z, pop"
wave to earth,2067535,spotify:artist:5069JTmv5ZDyPeZaCCXiCg,73,korean city pop
Swedish House Mafia,3710099,spotify:artist:1h6Cn3P4NGzXbaXidqURXs,75,"edm, pop dance, progressive electro house"
Robin Schulz,3067197,spotify:artist:3t5xRXzsuZmMDkQzgOX35S,77,"deep euro house, deep house, edm, german dance, pop dance, tropical house"
j-hope,17222482,spotify:artist:0b1sIQumIAsNbqAoIClSpy,76,"k-pop, k-rap"
IVE,3872102,spotify:artist:6RHTUrRF63xao58xh9FXYJ,74,k-pop girl group
Bryan Adams,3507475,spotify:artist:3Z02hBLubJxuFJfhacLSDc,75,"canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, soft rock"
All Time Low,2986160,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,69,"modern rock, neon pop punk, pop emo, pop punk"
Ana Castela,5161233,spotify:artist:2CKOmarVWvWqkNWUatHCex,83,"agronejo, sertanejo pop"
X Ambassadors,2972288,spotify:artist:3NPpFNZtSTHheNBaWC82rB,71,"modern alternative rock, modern rock, stomp pop"
Chase Matthew,244790,spotify:artist:7HTLVyjNf0VRxfIgNcfRRH,65,modern country pop
Tyler Hubbard,157177,spotify:artist:3BEV5FcxOtkQJ7lLRKMh3V,66,"contemporary country, modern country pop"
Dove Cameron,4825253,spotify:artist:2W8yFh0Ga6Yf3jiayVxwkE,71,pop
The All-American Rejects,2592577,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,67,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
Juanes,4642237,spotify:artist:0UWZUmn7sybxMCqrw9tGa7,76,"colombian pop, latin pop, mexican pop, rock en espanol"
Dreamville,648767,spotify:artist:1iNqsUDUraNWrj00bqssQG,67,"hip hop, pop rap, rap"
Nipsey Hussle,3383474,spotify:artist:0EeQBlQJFiAfJeVN2vT9s0,66,"conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Alesso,3864298,spotify:artist:4AVFqumd2ogHFlRbKIjp1t,73,"dance pop, edm, pop, pop dance, progressive electro house"
Matt Maltese,530355,spotify:artist:12j6dJrPXanCBwY599pZxf,69,"indie anthem-folk, indie pop, pov: indie"
Aaliyah,4225489,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,67,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary"
Matchbox Twenty,2451094,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,67,"neo mellow, pop rock, post-grunge"
Kany García,2660427,spotify:artist:69UypehHabb68utzfjAVlV,75,"latin pop, puerto rican pop"
The Fray,3961730,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,70,"neo mellow, piano rock, pop, pop rock"
Soulja Boy,1996373,spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,68,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
The Script,7903241,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,74,"celtic rock, pop"
Jacquees,2767208,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ,68,"atl hip hop, pop r&b, pop rap, r&b, rap, trap"
Jason Mraz,7110173,spotify:artist:4phGZZrJZRo4ElhRtViYdl,73,"acoustic pop, dance pop, neo mellow, pop"
Vampire Weekend,1893671,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,67,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Sufjan Stevens,1979722,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,71,"art pop, baroque pop, chamber pop, indie pop, indie rock, singer-songwriter"
Grimes,2309449,spotify:artist:053q0ukIDRgzwTr4vNSwab,69,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop"
Adrianne Lenker,313760,spotify:artist:4aKWmkWAKviFlyvHYPTNQY,67,"chamber pop, countrygaze, indie pop, small room"
Ruth B.,3381253,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY,73,"alt z, canadian contemporary r&b, canadian pop, pop"
Armin van Buuren,4259066,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5,75,"dutch trance, edm, pop dance, progressive house, trance"
Josh Meloy,97869,spotify:artist:3EVsC9ZK7QMDuK4FPcZaEq,65,"classic oklahoma country, modern country pop, oklahoma country, texas country"
Strawberry Guy,751066,spotify:artist:1AbJ2cmwK400LSvdvBL5Jc,68,bedroom pop
AURORA,3536858,spotify:artist:1WgXqy2Dd70QQOU7Ay074N,73,"art pop, norwegian pop"
Dido,1756171,spotify:artist:2mpeljBig2IXLXRAFO9AAs,75,"dance pop, europop, lilith, neo mellow, pop rock"
Sean Kingston,3217083,spotify:artist:6S0dmVVn4udvppDhZIWxCr,71,"dance pop, miami hip hop, pop"
Juan Gabriel,8345232,spotify:artist:2MRBDr0crHWE5JwPceFncq,75,"cancion melodica, latin pop, mariachi, musica mexicana, ranchera"
Carly Rae Jepsen,4856788,spotify:artist:6sFIWsNpZYqfjUpaCgueju,72,"canadian pop, dance pop, pop"
Yot Club,480791,spotify:artist:6FugQjLquBF4JzATRN70bR,68,bedroom pop
Fitz and The Tantrums,897350,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,68,"la indie, modern alternative rock, modern rock, pop rock, pov: indie"
Galantis,3324868,spotify:artist:4sTQVOfp9vEMCemLw50sbu,72,"dance pop, edm, pop, pop dance"
Oliver Anthony Music,801978,spotify:artist:6IkfE2JyVoKwBZXvuytKX3,66,modern country pop
Blxst,471038,spotify:artist:4qXC0i02bSFstECuXP2ZpL,68,"pop rap, westcoast flow"
Cuco,2749376,spotify:artist:2Tglaf8nvDzwSQnpSrjLHP,69,"bedroom pop, dream pop"
James Blake,1425054,spotify:artist:53KwLdlmrlCelAZMaLVZqU,69,"art pop, indie soul, indietronica, uk alternative pop"
Muscadine Bloodline,246888,spotify:artist:0EyZDKtc41e4A3a3v69MxD,64,modern country pop
24kGoldn,2191419,spotify:artist:6fWVd57NKTalqvmjRd2t8Z,70,"cali rap, pop rap"
YOASOBI,7568674,spotify:artist:64tJ2EAv1R6UaZqc4iOCyj,76,"j-pop, japanese teen pop"
Mike Posner,1351748,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,70,"dance pop, pop, pop dance, pop rap"
Suki Waterhouse,618473,spotify:artist:5GGJosGMs08YEmKTZJe1fL,69,indie pop
MAX,894148,spotify:artist:1bqxdqvUtPWZri43cKHac8,70,"singer-songwriter pop, teen pop, viral pop"
Omar Apollo,960251,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,67,"bedroom pop, bedroom soul"
Milky Chance,1898658,spotify:artist:1hzfo8twXdOegF3xireCYs,73,"german pop, modern rock"
Matt Hansen,424854,spotify:artist:6wlhqnATSJIc0NQ64VxOVJ,69,"gen z singer-songwriter, singer-songwriter pop"
Big Thief,760853,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,67,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, small room"
Little Mix,11782730,spotify:artist:3e7awlrlDSwF3iM0WBjGMp,74,"girl group, pop, talent show, uk pop"
Enya,2110436,spotify:artist:6uothxMWeLWIhsGeF7cyo4,71,"celtic, gregorian dance, operatic pop"
Sophie Ellis-Bextor,483228,spotify:artist:2cBh5lVMg222FFuRU7EfDE,73,"dance pop, europop, new wave pop"
aespa,4986933,spotify:artist:6YVMFz59CuY7ngCxTxjpxE,74,k-pop girl group
Danny Ocean,5332475,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj,76,"pop venezolano, reggaeton, trap latino, urbano latino"
Josh Ross,78218,spotify:artist:1ZGTSMjK1D2HrpPTOh916U,65,modern country pop
Lost Frequencies,2772789,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,77,"belgian edm, edm, pop dance, tropical house"
Ja Rule,1811383,spotify:artist:1J2VVASYAamtQ3Bt8wGgA6,69,"dance pop, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, queens hip hop, rap, urban contemporary"
Clean Bandit,5358878,spotify:artist:6MDME20pz9RveH9rEXvrOM,74,"pop, uk dance, uk funky"
Alejandro Fernández,7370328,spotify:artist:6sq1yF0OZEWA4xoXVKW1L9,75,"latin arena pop, latin pop, mariachi, mexican pop, musica mexicana, ranchera"
Cyndi Lauper,2615500,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,73,"dance pop, new wave pop, permanent wave, soft rock"
Beach Bunny,1376107,spotify:artist:2vnB6tuQMaQpORiRdvXF9H,69,"bubblegrunge, chicago indie, indie pop, pov: indie"
Bazzi,5442308,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,69,pop
Shaggy,2128296,spotify:artist:5EvFsr3kj42KNv97ZEnqij,72,"dance pop, pop rap, reggae fusion"
Dermot Kennedy,1519338,spotify:artist:5KNNVgR6LBIABRIomyCwKJ,72,"folk-pop, irish pop, uk pop"
George Michael,4694054,spotify:artist:19ra5tSw0tWufvUp8GotLo,73,new wave pop
Aminé,1932213,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,67,"pop rap, portland hip hop, rap, underground hip hop"
Mazzy Star,1223952,spotify:artist:37w38cCSGgKLdayTRjna4W,68,"dream pop, melancholia, shoegaze, slowcore"
John Denver,2112387,spotify:artist:7EK1bQADBoqbYXnT4Cqv9w,68,"classic country pop, folk, folk rock, mellow gold, singer-songwriter, soft rock"
Billy Idol,1915751,spotify:artist:7lzordPuZEXxwt9aoVZYmG,70,"album rock, classic rock, dance rock, hard rock, new romantic, new wave, new wave pop, rock, soft rock"
Ricardo Arjona,12410356,spotify:artist:0h1zs4CTlU9D2QtgPxptUD,75,"cantautor, latin arena pop, latin pop"
No Doubt,2725301,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,68,"dance pop, dance rock, permanent wave, pop rock, rock"
Modest Mouse,1437562,spotify:artist:1yAwtBaoHLEDWAnWR87hBT,64,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie"
George Ezra,4137707,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,72,"folk-pop, neo-singer-songwriter"
Livingston,531976,spotify:artist:2fPsJqR6zfoHatC1eFr0eQ,69,singer-songwriter pop
AFROJACK,3874164,spotify:artist:4D75GcNG95ebPtNvoNVXhz,72,"big room, dance pop, dutch house, edm, electro house, pop dance"
ITZY,7034526,spotify:artist:2KC9Qb60EaY0kW4eH68vr3,73,"k-pop, k-pop girl group"
Vansire,358535,spotify:artist:6ft7JnxMyZhp7N52qzHymY,67,"bedroom pop, rochester mn indie"
SYML,750401,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,72,modern indie pop
Lupe Fiasco,1853022,spotify:artist:01QTIT5P1pFP3QnnFSdsJf,66,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop"
Jess Glynne,3019341,spotify:artist:4ScCswdRlyA23odg9thgIO,73,"dance pop, pop, uk pop"
Waka Flocka Flame,2643175,spotify:artist:6f4XkbvYlXMH0QgVRzW0sM,65,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap"
Fergie,5640040,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,69,"dance pop, pop"
Ovy On The Drums,314024,spotify:artist:3m5qlPf2OkihLz3dRYnkPA,74,"colombian pop, reggaeton colombiano, trap latino, urbano latino"
Andy Grammer,1184498,spotify:artist:2oX42qP5ineK3hrhBECLmj,67,"neo mellow, post-teen pop, viral pop"
Emilia,2627818,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,80,pop argentino
Céline Dion,8046874,spotify:artist:4S9EykWXhStSc15wEx8QFK,74,canadian pop
Christina Perri,3725730,spotify:artist:7H55rcKCfwqkyDFH9wpKM6,71,pop
HIXTAPE,75996,spotify:artist:4Y8LpEiP4uKTP02lSYEWJV,64,modern country pop
mike.,582036,spotify:artist:5G9kmDLg3OeUyj8KVBLzbu,64,"indie pop rap, rhode island rap"
Ole 60,100488,spotify:artist:3iXeAZ8862AyoZ5ZGg800O,63,modern country pop
Creepy Nuts,957215,spotify:artist:0pWR7TsFhvSCnbmHDjWgrE,75,j-pop
Kameron Marlowe,153582,spotify:artist:31n3CN1jSC5ALUJ9dwT8UI,64,"contemporary country, country pop, modern country pop"
Lauren Spencer Smith,1362828,spotify:artist:79AyR6ATpj2LTPxfb6FX50,68,"alt z, gen z singer-songwriter, singer-songwriter pop"
IU,8469129,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,73,"k-pop, pop"
BØRNS,1248916,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,67,"indie poptimism, modern alternative rock, modern rock, pov: indie"
Third Eye Blind,1540466,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,64,"alternative metal, alternative rock, pop rock, post-grunge"
Quinn XCII,778267,spotify:artist:3ApUX1o6oSz321MMECyIYd,64,indie pop rap
Cordae,2000949,spotify:artist:0huGjMyP507tBCARyzSkrv,66,"hip hop, pop rap, rap, trap, underground hip hop"
Ricky Montgomery,1786464,spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw,68,"la indie, pop, pov: indie"
WALK THE MOON,2091659,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,69,"dance rock, modern alternative rock, modern rock, neo mellow, pop rock"
Owl City,2318163,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,68,"indietronica, pop"
Lloyd,2247948,spotify:artist:1Xfmvd48oOhEWkscWyEbh9,66,"hip pop, r&b, southern hip hop, trap, urban contemporary"
Counting Crows,1732393,spotify:artist:0vEsuISMWAKNctLlUAhSZC,68,"neo mellow, pop rock, post-grunge, rock"
Sheryl Crow,1138936,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,67,"lilith, new wave pop, permanent wave, pop rock, singer-songwriter"
Dave Matthews Band,1947328,spotify:artist:2TI7qyDE0QfyOlnbtfDo7L,63,"jam band, neo mellow, pop rock"
Remi Wolf,455707,spotify:artist:0NB5HROxc8dDBXpkIi1v3d,65,"indie pop, modern alternative pop"
Lady A,3653086,spotify:artist:32WkQRZEVKSzVAAYqukAEA,66,"contemporary country, country, country dawn, country pop, country road"
NATTI NATASHA,9811555,spotify:artist:1GDbiv3spRmZ1XdM1jQbT7,73,"latin pop, rap latina, reggaeton, urbano latino"
NCT DREAM,7619328,spotify:artist:1gBUSTR3TyDdTVFIaQnc02,75,"k-pop, k-pop boy group"
Loud Luxury,654914,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,69,"edm, pop dance, uk dance"
Internet Money,807863,spotify:artist:6MPCFvOQv5cIGfw3jODMF0,67,"pop rap, trap"
Neon Trees,1207906,spotify:artist:0RpddSzUHfncUWNJXKOsjy,65,"modern rock, neo mellow, pop rock, pov: indie"
Of Monsters and Men,3462167,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,68,"folk-pop, metropopolis, modern rock, stomp and holler"
Corey Kent,146293,spotify:artist:3sUpZrkehiGBaMzs2h9Mmc,63,"modern country pop, texas country"
